country_code,currency_code,full_price,gender,image_URL,item_URL,price,product_category,product_code,product_name,product_subcategory
GBR,GBP,1080,Woman,https://valentino-cdn.thron.com/delivery/public/image/valentino/09465d67-f86c-4459-bfc4-364bacc37dc9/ihqstx/std/500x0/WOOL-JUMPER-?quality\u003d80\u0026size\u003d35\u0026format\u003dauto,https://www.valentino.com/en-gb/product-wool-sweater--BKC53S8DU_A03,1080,READY-TO-WEAR,BKC53S8DU_A03,WOOL JUMPER ,KNITWEAR
GBR,GBP,1690,Woman,https://valentino-cdn.thron.com/delivery/public/image/valentino/8afd7c7c-4d6d-4741-8ba2-3612c2ae5daa/ihqstx/std/500x0/WOOL-JUMPER-?quality\u003d80\u0026size\u003d35\u0026format\u003dauto,https://www.valentino.com/en-gb/product-wool-sweater--BKC51E8AL_157,1690,READY-TO-WEAR,BKC51E8AL_157,WOOL JUMPER ,KNITWEAR
GBR,GBP,1480,Woman,https://valentino-cdn.thron.com/delivery/public/image/valentino/1e3a7944-74cd-4087-905f-6a73fbb738bb/ihqstx/std/500x0/TOILE-ICONOGRAPHE-WOOL-JUMPER-?quality\u003d80\u0026size\u003d35\u0026format\u003dauto,https://www.valentino.com/en-gb/product-toile-iconographe-wool-jumper--BKC47J84K_E21,1480,READY-TO-WEAR,BKC47J84K_E21,TOILE ICONOGRAPHE WOOL JUMPER ,KNITWEAR
GBR,GBP,1280,Woman,https://valentino-cdn.thron.com/delivery/public/image/valentino/21e6e71a-099f-4f5e-b8a5-85645b361820/ihqstx/std/500x0/TOILE-ICONOGRAPHE-WOOL-JUMPER?quality\u003d80\u0026size\u003d35\u0026format\u003dauto,https://www.valentino.com/en-gb/product-toile-iconographe-wool-jumper-BKC47K82U_E21,1280,READY-TO-WEAR,BKC47K82U_E21,TOILE ICONOGRAPHE WOOL JUMPER,KNITWEAR
GBR,GBP,1480,Woman,https://valentino-cdn.thron.com/delivery/public/image/valentino/000ea249-0e59-4661-bf49-faee9ef16f49/ihqstx/std/500x0/TOILE-ICONOGRAPHE-WOOL-CARDIGAN?quality\u003d80\u0026size\u003d35\u0026format\u003dauto,https://www.valentino.com/en-gb/product-toile-iconographe-wool-cardigan-BKA05S82U_E21,1480,READY-TO-WEAR,BKA05S82U_E21,TOILE ICONOGRAPHE WOOL CARDIGAN,KNITWEAR
GBR,GBP,5400,Woman,https://valentino-cdn.thron.com/delivery/public/image/valentino/0300d0d9-f4eb-4cd2-85eb-d9c4d7f131ae/ihqstx/std/500x0/EMBROIDERED-WOOL-JUMPER?quality\u003d80\u0026size\u003d35\u0026format\u003dauto,https://www.valentino.com/en-gb/product-embroidered-wool-sweater-BKC50D88A_ZPH,5400,READY-TO-WEAR,BKC50D88A_ZPH,EMBROIDERED WOOL JUMPER,KNITWEAR
GBR,GBP,1850,Woman,https://valentino-cdn.thron.com/delivery/public/image/valentino/a6f5126f-f463-4dfa-97be-035aabfb2176/ihqstx/std/500x0/WOOL-JUMPER-?quality\u003d80\u0026size\u003d35\u0026format\u003dauto,https://www.valentino.com/en-gb/product-wool-sweater--BKC51K897_0NI,1850,READY-TO-WEAR,BKC51K897_0NI,WOOL JUMPER ,KNITWEAR
GBR,GBP,1380,Woman,https://valentino-cdn.thron.com/delivery/public/image/valentino/c9cb22c0-f9db-460c-ad35-0869a2756fd7/ihqstx/std/500x0/WOOL-JUMPER-?quality\u003d80\u0026size\u003d35\u0026format\u003dauto,https://www.valentino.com/en-gb/product-wool-sweater--BKC54D8E6_0NO,1380,READY-TO-WEAR,BKC54D8E6_0NO,WOOL JUMPER ,KNITWEAR
GBR,GBP,1080,Woman,https://valentino-cdn.thron.com/delivery/public/image/valentino/0ef9ee21-a513-4973-af7d-c2b49cf2777b/ihqstx/std/500x0/TOILE-ICONOGRAPHE-STRETCHED-VISCOSE-JUMPER-?quality\u003d80\u0026size\u003d35\u0026format\u003dauto,https://www.valentino.com/en-gb/product-toile-iconographe-stretched-viscose-sweater--BKC54R8F5_0NO,1080,READY-TO-WEAR,BKC54R8F5_0NO,TOILE ICONOGRAPHE STRETCHED VISCOSE JUMPER ,KNITWEAR
GBR,GBP,1850,Woman,https://valentino-cdn.thron.com/delivery/public/image/valentino/3fb545bf-5d19-46a4-b820-271b3551afb8/ihqstx/std/500x0/WOOL-JUMPER-?quality\u003d80\u0026size\u003d35\u0026format\u003dauto,https://www.valentino.com/en-gb/product-wool-sweater--BKC52Q8DA_0NA,1850,READY-TO-WEAR,BKC52Q8DA_0NA,WOOL JUMPER ,KNITWEAR
GBR,GBP,1280,Woman,https://valentino-cdn.thron.com/delivery/public/image/valentino/9409505d-5c69-4bd8-8827-ded9048d0f2d/ihqstx/std/500x0/EMBROIDERED-WOOL-JUMPER?quality\u003d80\u0026size\u003d35\u0026format\u003dauto,https://www.valentino.com/en-gb/product-embroidered-wool-sweater-BKC53R8DR_NUD,1280,READY-TO-WEAR,BKC53R8DR_NUD,EMBROIDERED WOOL JUMPER,KNITWEAR
GBR,GBP,1850,Woman,https://valentino-cdn.thron.com/delivery/public/image/valentino/df7386f9-c7fa-4c54-a141-6e47efcf2226/ihqstx/std/500x0/EMBROIDERED-WOOL-JUMPER?quality\u003d80\u0026size\u003d35\u0026format\u003dauto,https://www.valentino.com/en-gb/product-embroidered-wool-sweater-BKC54N8F1_NUD,1850,READY-TO-WEAR,BKC54N8F1_NUD,EMBROIDERED WOOL JUMPER,KNITWEAR
GBR,GBP,1850,Woman,https://valentino-cdn.thron.com/delivery/public/image/valentino/14ad44d5-ddae-4254-bfe4-3180f691775e/ihqstx/std/500x0/CARDIGAN-IN-STRETCHED-VISCOSE-TOILE-ICONOGRAPHE-?quality\u003d80\u0026size\u003d35\u0026format\u003dauto,https://www.valentino.com/en-gb/product-cardigan-in-stretched-viscose-toile-iconographe--BKA06V8F5_0NO,1850,READY-TO-WEAR,BKA06V8F5_0NO,CARDIGAN IN STRETCHED VISCOSE TOILE ICONOGRAPHE ,KNITWEAR
